Date,-TBond Futures-Volume,-TBond Futures-Previous Day Open Interest,-TBond Futures-Open
2015-06-02,28941.0,18782.0,155.15625
2015-06-03,15688.0,16184.0,153.5
2015-06-04,11948.0,15316.0,151.46875
2015-06-05,11200.0,11903.0,152.75
2015-06-08,6378.0,11463.0,151.25
2015-06-09,804.0,10197.0,151.53125
2015-06-10,2144.0,9545.0,150.125
2015-06-11,1476.0,8518.0,149.53125
2015-06-12,2451.0,8928.0,151.96875
2015-06-15,906.0,7237.0,152.125
2015-06-16,2267.0,5505.0,152.09375
2015-06-17,748.0,4944.0,153.0
2015-06-18,1102.0,4121.0,152.46875
2015-06-19,3381.0,1982.0,152.15625
2015-06-22,851.0,476780.0,151.75
2015-06-23,203386.0,480126.0,149.59375
2015-06-24,271463.0,482886.0,148.84375
2015-06-25,223548.0,478245.0,149.90625
2015-06-26,226150.0,476890.0,149.25
2015-06-29,233529.0,471402.0,149.75
2015-06-30,324879.0,478174.0,150.9375
2015-07-01,294818.0,477901.0,150.5
2015-07-02,244800.0,477766.0,148.75
2015-07-06,238072.0,481067.0,151.9375
2015-07-07,266996.0,488025.0,151.71875
2015-07-08,349958.0,496603.0,152.90625
2015-07-09,265455.0,496026.0,154.25
2015-07-10,306425.0,492235.0,151.09375
2015-07-13,311718.0,488131.0,150.3125
2015-07-14,233852.0,490618.0,148.59375
2015-07-15,194302.0,484578.0,149.4375
2015-07-16,207339.0,479030.0,150.65625
2015-07-17,425348.0,487275.0,151.34375
2015-07-20,199931.0,496466.0,152.0625
2015-07-21,182141.0,502914.0,151.96875
2015-07-22,204115.0,507648.0,152.59375
2015-07-23,202555.0,512999.0,153.15625
2015-07-24,231769.0,522452.0,154.5625
2015-07-27,246222.0,519727.0,154.71875
2015-07-28,196080.0,515573.0,155.34375
2015-07-29,187248.0,507027.0,154.78125
2015-07-30,185940.0,509171.0,154.15625
2015-07-31,249077.0,513008.0,155.25
2015-08-03,285714.0,519657.0,156.40625
2015-08-04,228656.0,521916.0,157.65625
2015-08-05,206900.0,522832.0,156.65625
2015-08-06,254277.0,521486.0,155.6875
2015-08-07,181354.0,515767.0,157.0
2015-08-10,274630.0,523637.0,158.625
2015-08-11,188469.0,521601.0,156.875
2015-08-12,294569.0,525293.0,158.71875
2015-08-13,322518.0,520931.0,158.1875
2015-08-14,330386.0,517513.0,157.90625
2015-08-17,171888.0,510086.0,158.1875
2015-08-18,168091.0,511681.0,158.6875
2015-08-19,379512.0,514863.0,157.78125
2015-08-20,295655.0,516284.0,158.84375
2015-08-21,248459.0,520352.0,160.28125
2015-08-24,305323.0,501248.0,160.875
2015-08-25,506848.0,462247.0,160.375
2015-08-26,495564.0,384298.0,158.875
2015-08-27,543687.0,287177.0,156.09375
2015-08-28,452367.0,155803.0,156.34375
2015-08-31,236738.0,73052.0,156.25
2015-09-01,64966.0,41793.0,155.5625
2015-09-02,30926.0,30489.0,156.53125
2015-09-03,12550.0,24878.0,155.625
2015-09-04,8323.0,22226.0,156.0625
2015-09-08,12670.0,14158.0,157.21875
2015-09-09,4746.0,12420.0,155.875
2015-09-10,5527.0,11298.0,155.8125
2015-09-11,3587.0,10475.0,155.25
2015-09-14,1331.0,10164.0,156.125
2015-09-15,2388.0,9883.0,156.25
2015-09-16,2290.0,9108.0,153.71875
2015-09-17,2253.0,8899.0,153.59375
2015-09-18,571.0,8591.0,155.125
2015-09-21,3107.0,4897.0,157.03125
2015-09-22,2053.0,498474.0,153.75
2015-09-23,219360.0,493690.0,155.40625
2015-09-24,192031.0,497449.0,155.5
2015-09-25,278139.0,496324.0,156.3125
2015-09-28,254861.0,488245.0,155.625
2015-09-29,216864.0,490407.0,157.3125
2015-09-30,271079.0,495848.0,157.84375
2015-10-01,251044.0,494676.0,157.8125
2015-10-02,223142.0,493210.0,157.90625
2015-10-05,327364.0,504364.0,158.78125
2015-10-06,177156.0,506009.0,157.28125
2015-10-07,204448.0,504458.0,157.90625
2015-10-08,202720.0,507870.0,157.21875
2015-10-09,283310.0,516355.0,156.625
2015-10-12,219141.0,510020.0,157.03125
2015-10-13,42220.0,512934.0,157.78125
2015-10-14,165134.0,521630.0,158.0625
2015-10-15,239746.0,527201.0,159.65625
2015-10-16,192535.0,519198.0,158.84375
2015-10-19,152428.0,512740.0,158.53125
2015-10-20,180246.0,506040.0,158.4375
2015-10-21,197785.0,502298.0,157.375
2015-10-22,188153.0,499553.0,158.53125
2015-10-23,250684.0,497074.0,158.34375
2015-10-26,258841.0,482460.0,157.09375
2015-10-27,169848.0,478244.0,157.9375
2015-10-28,192742.0,482460.0,158.3125
2015-10-29,245564.0,484232.0,157.84375
2015-10-30,343193.0,481184.0,155.96875
2015-11-02,286525.0,472444.0,156.6875
2015-11-03,200274.0,480946.0,156.0625
2015-11-04,398602.0,489298.0,154.8125
2015-11-05,234421.0,483885.0,154.71875
2015-11-06,263055.0,483071.0,154.28125
2015-11-09,354108.0,490949.0,152.5
2015-11-10,248400.0,482992.0,151.96875
2015-11-11,215832.0,474653.0,152.1875
2015-11-12,51670.0,473276.0,152.125
2015-11-13,528120.0,470361.0,152.84375
2015-11-16,402700.0,464211.0,154.03125
2015-11-17,181629.0,461100.0,153.40625
